Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ with Tax)
ANNIMOS DS3218MG Digital Servo (20KG),High-torque waterproof servo for finger control,5,13.99,69.95,https://www.amazon.com/ANNIMOS-Digital-Waterproof-DS3218MG-Control/dp/B076CNKQX4/,$75.02
Adafruit 16-Channel PWM/Servo HAT,Servo control board for Raspberry Pi,2,17.5,35,https://www.adafruit.com/product/2327,$112.56
Shipping (Adafruit),Standard shipping for Adafruit order,1,5.95,5.95,https://www.adafruit.com,$118.94
Servo Horns,Metal servo attachment horns for finger actuation,1,6.99,6.99,https://www.amazon.com/Honbay-Aluminum-Standard-Airplane-Hop-up/dp/B09CT7QK6C/,$126.44
